customer_id,customer_age,months_at_address,residence_status,employment,income,months_with_bank,other_credits,balance,status
1,53,62,Tenant,Unknown,50000,55,Yes,1055.9,0
2,61,22,HomeOwner,Employed,52000,25,Yes,1161.6,0
3,47,30,Tenant,Employed,37000,61,No,877.23,0
4,50,75,HomeOwner,Employed,53000,20,Yes,157.37,0
5,68,56,HomeOwner,Employed,53000,14,Yes,561.84,0
6,65,13,HomeOwner,Employed,48000,59,Yes,968.18,0
7,34,32,HomeOwner,Unknown,32000,26,Yes,717.82,1
8,50,57,Other,Employed,51000,33,No,3041.2,0
9,50,10,Tenant,Unknown,52000,25,Yes,115.56,1
10,49,30,HomeOwner,Unknown,53000,23,Yes,718.5,1
11,52,24,Tenant,Unknown,34000,44,Yes,119.8,1
12,48,91,Other,Unknown,44000,14,Yes,403.62,0
13,65,63,HomeOwner,Unknown,48000,6,No,111.88,0
14,44,75,Other,Unknown,41000,35,No,436.41,0
15,46,82,Other,Employed,46000,16,Yes,162.21,0
16,33,47,HomeOwner,Employed,36000,36,Yes,845.02,0
17,39,10,Tenant,Employed,34000,40,Yes,756.26,1
18,24,7,HomeOwner,Employed,22000,19,Yes,449.61,0
19,53,14,HomeOwner,Employed,51000,11,Yes,519.46,1
20,52,55,Other,Unknown,42000,12,Yes,1269.2,0
21,37,13,Tenant,Unknown,33000,22,No,819.27,1
22,51,13,HomeOwner,Employed,35000,33,Yes,468.85,0
23,38,29,Other,Unknown,20000,9,Yes,404.83,0
24,43,41,Tenant,Employed,30000,12,Yes,304.08,0
25,56,27,Other,Unknown,42000,40,Yes,856.06,1
26,52,9,HomeOwner,Unknown,37000,19,Yes,1203.5,1
27,45,5,Other,Employed,43000,25,Yes,323.22,0
28,40,64,HomeOwner,Unknown,31000,10,Yes,504.08,0
29,58,34,HomeOwner,Unknown,58000,11,No,603.34,1
30,36,39,HomeOwner,Employed,33000,65,Yes,1019.0,0
31,44,17,Tenant,Employed,32000,42,Yes,2150.4,0
32,46,6,Tenant,Unknown,37000,16,Yes,310.21,1
33,46,8,Tenant,Unknown,32000,26,Yes,940.78,0
34,58,18,Tenant,Unknown,44000,27,Yes,697.85,1
35,35,23,Tenant,Unknown,48000,39,Yes,1119.0,1
36,36,48,Other,Employed,30000,21,No,2272.8,1
37,60,58,Tenant,Employed,41000,52,Yes,582.96,0
38,57,62,Tenant,Employed,58000,70,Yes,193.69,0
39,56,42,HomeOwner,Employed,47000,51,Yes,1188.9,0
40,57,31,Tenant,Unknown,54000,19,Yes,124.04,0
41,41,18,HomeOwner,Unknown,45000,28,No,1374.5,1
42,33,8,HomeOwner,Employed,31000,42,Yes,587.95,1
43,40,29,HomeOwner,Employed,33000,117,Yes,919.49,0
44,30,32,Other,Unknown,33000,30,Yes,776.63,0
45,47,27,Tenant,Unknown,39000,26,Yes,2340.0,1
46,38,26,Other,Unknown,47000,19,Yes,1395.2,0
47,52,56,Tenant,Employed,56000,79,Yes,294.46,0
48,49,56,Tenant,Employed,49000,13,Yes,253.02,0
49,41,57,HomeOwner,Unknown,30000,48,Yes,79.87,0
50,38,12,Tenant,Unknown,28000,11,Yes,407.24,1
51,48,12,HomeOwner,Employed,34000,3,Yes,819.3,0
52,59,17,HomeOwner,Employed,60000,45,Yes,613.35,0
53,48,73,Tenant,Employed,46000,68,Yes,747.77,0
54,47,86,HomeOwner,Employed,33000,56,Yes,608.14,0
55,38,19,Other,Employed,33000,41,No,1883.5,1
56,52,52,Tenant,Employed,48000,68,Yes,1266.9,0
57,43,59,Tenant,Unknown,36000,37,Yes,214.3,0
58,56,56,HomeOwner,Unknown,50000,11,Yes,1474.2,1
59,49,18,HomeOwner,Employed,45000,15,No,38.9,0
60,53,112,Tenant,Unknown,42000,48,Yes,175.01,1
61,51,45,Tenant,Employed,34000,40,Yes,21.59,0
62,69,75,Tenant,Employed,53000,46,Yes,498.51,0
63,43,4,Tenant,Unknown,30000,53,Yes,233.22,1
64,42,85,Tenant,Employed,34000,40,Yes,1089.3,0
65,42,34,Tenant,Unknown,37000,17,Yes,287.36,1
66,48,67,HomeOwner,Unknown,50000,47,Yes,271.88,0
67,39,3,Tenant,Employed,37000,42,Yes,112.61,0
68,54,11,Tenant,Unknown,40000,42,Yes,975.88,1
69,40,72,Tenant,Unknown,40000,8,Yes,593.03,1
70,44,35,Tenant,Employed,38000,28,Yes,743.34,0
71,49,64,HomeOwner,Employed,37000,8,Yes,881.68,0
72,57,28,Tenant,Unknown,45000,27,Yes,704.65,0
73,52,7,Tenant,Unknown,38000,34,Yes,1410.3,0
74,44,6,Tenant,Employed,39000,19,Yes,1716.8,1
75,35,39,Tenant,Unknown,42000,42,No,1147.3,0
76,52,50,Tenant,Unknown,39000,57,Yes,849.39,0
77,66,19,HomeOwner,Employed,45000,13,Yes,1322.2,0
78,55,79,HomeOwner,Employed,39000,57,Yes,856.65,1
79,45,20,Tenant,Employed,39000,31,Yes,633.61,0
80,59,15,HomeOwner,Unknown,45000,19,No,292.34,1
81,38,59,HomeOwner,Unknown,51000,7,Yes,931.52,0
82,41,18,HomeOwner,Employed,33000,92,Yes,330.21,1
83,40,28,HomeOwner,Employed,42000,121,Yes,984.09,0
84,47,45,HomeOwner,Unknown,43000,51,Yes,457.13,0
85,38,30,HomeOwner,Employed,30000,49,Yes,454.88,0
86,38,39,Tenant,Unknown,27000,7,Yes,228.59,1
87,47,72,Tenant,Employed,37000,10,Yes,1830.5,1
88,69,54,Other,Unknown,54000,4,Yes,1008.1,0
89,42,20,HomeOwner,Employed,38000,3,Yes,12.86,0
90,37,23,HomeOwner,Employed,40000,21,Yes,71.09,0
91,30,49,HomeOwner,Unknown,34000,38,Yes,1614.1,0
92,30,36,Tenant,Unknown,26000,36,Yes,1812.2,1
93,35,119,Tenant,Employed,37000,41,Yes,229.6,0
94,46,55,Tenant,Unknown,34000,17,Yes,10.13,1
95,43,46,Tenant,Employed,30000,11,Yes,2474.2,0
96,58,42,HomeOwner,Unknown,39000,7,Yes,350.84,0
97,35,46,Tenant,Unknown,37000,24,Yes,271.14,0
98,50,28,HomeOwner,Employed,41000,18,Yes,923.04,0
99,43,67,HomeOwner,Unknown,35000,4,Yes,1084.8,1
100,45,17,HomeOwner,Unknown,21000,56,Yes,7.22,0
101,34,18,Tenant,Employed,41000,88,Yes,939.75,0
102,59,106,HomeOwner,Unknown,45000,16,No,649.67,1
103,64,49,HomeOwner,Employed,50000,35,Yes,118.43,0
104,61,70,Tenant,Employed,52000,28,Yes,381.33,0
105,28,48,HomeOwner,Employed,34000,85,Yes,568.84,0
106,65,43,HomeOwner,Unknown,46000,18,Yes,1115.9,0
107,55,11,Tenant,Employed,47000,58,Yes,754.71,0
108,37,21,HomeOwner,Unknown,32000,14,Yes,833.67,0
109,49,21,Tenant,Employed,39000,12,Yes,502.17,0
110,51,16,HomeOwner,Employed,45000,17,Yes,2121.5,0
111,24,27,HomeOwner,Unknown,31000,25,Yes,1460.3,0
112,38,28,HomeOwner,Employed,40000,31,Yes,470.48,0
113,37,106,HomeOwner,Employed,42000,15,No,1350.6,0
114,46,8,Tenant,Unknown,44000,35,Yes,2651.4,1
115,44,23,Tenant,Unknown,45000,49,Yes,834.14,0
116,47,10,Other,Employed,41000,60,Yes,837.7,0
117,50,71,HomeOwner,Employed,44000,95,Yes,1241.3,0
118,56,3,Other,Unknown,45000,45,No,540.37,0
119,51,20,Tenant,Employed,36000,70,Yes,1116.7,0
120,37,30,Tenant,Unknown,33000,13,Yes,190.42,0
121,50,13,Other,Employed,33000,41,Yes,1798.7,0
122,50,82,Tenant,Unknown,49000,10,No,827.36,0
123,42,70,Tenant,Employed,40000,33,No,1759.7,1
124,61,54,HomeOwner,Unknown,51000,51,Yes,86.44,1
125,37,23,Tenant,Employed,43000,62,Yes,863.33,0
126,41,13,Tenant,Employed,42000,64,Yes,2267.1,1
127,36,51,HomeOwner,Employed,37000,14,No,866.01,1
128,60,45,HomeOwner,Unknown,44000,82,Yes,708.63,0
129,53,119,HomeOwner,Employed,39000,15,Yes,791.63,0
130,50,57,HomeOwner,Unknown,50000,19,Yes,720.76,0
131,46,4,HomeOwner,Employed,36000,8,Yes,262.89,0
132,73,2,HomeOwner,Unknown,56000,102,Yes,780.93,0
133,66,22,Other,Unknown,59000,40,Yes,1211.7,0
134,42,95,HomeOwner,Employed,43000,14,Yes,234.13,0
135,29,28,Tenant,Unknown,38000,6,Yes,372.67,0
136,59,13,Tenant,Unknown,46000,14,Yes,1199.5,0
137,48,100,Tenant,Unknown,48000,55,Yes,46.14,0
138,44,31,Other,Employed,41000,2,Yes,1101.8,0
139,38,39,HomeOwner,Employed,30000,7,No,180.16,1
140,36,21,HomeOwner,Unknown,35000,33,Yes,920.13,1
141,32,26,HomeOwner,Employed,28000,15,No,12.29,0
142,34,63,HomeOwner,Employed,29000,28,Yes,876.28,0
143,41,33,Tenant,Employed,34000,38,Yes,206.57,0
144,51,65,Tenant,Employed,48000,34,Yes,1802.5,0
145,44,12,Other,Unknown,33000,4,Yes,37.38,1
146,42,5,HomeOwner,Unknown,47000,26,Yes,800.92,0
147,48,23,Tenant,Employed,35000,10,No,337.32,0
148,34,38,Tenant,Employed,37000,31,Yes,1135.9,0
149,54,100,HomeOwner,Employed,45000,52,No,998.47,0
150,36,5,HomeOwner,Unknown,46000,46,Yes,790.07,1
151,55,5,Other,Unknown,57000,38,Yes,1668.7,0
152,64,95,Tenant,Employed,55000,24,Yes,2555.0,0
153,26,26,HomeOwner,Unknown,25000,75,Yes,1045.4,0
154,36,51,Tenant,Employed,32000,76,Yes,445.37,0
155,47,76,HomeOwner,Unknown,38000,77,Yes,337.55,0
156,45,112,Tenant,Unknown,31000,60,Yes,473.21,0
157,37,66,Other,Unknown,33000,7,Yes,1450.3,0
158,38,22,Tenant,Unknown,28000,16,No,112.95,1
159,39,26,Tenant,Employed,39000,107,Yes,499.02,0
160,35,15,Other,Employed,30000,8,Yes,978.68,1
161,22,51,HomeOwner,Employed,23000,23,Yes,1285.0,1
162,43,53,Tenant,Employed,36000,71,Yes,1093.6,1
163,57,19,Other,Employed,41000,3,Yes,350.2,0
164,38,39,Other,Unknown,23000,77,Yes,177.15,0
